"","xco2","xco2_adj","sif_757","GPP","ndvi","lai","LST","Qg","Prec","Temp","RH"
"N",134392,134392,63460,22870,12373,24047,181957,201172,201172,201172,201172
"N_perdidos",0,0,0,0,0,0,0,4,0,0,0
"Media",404.846223295384,391.264455,0.261177184459279,0.038884814167031,0.618674411816051,2.07744419742587,29.6614070281457,18.8443781317108,2.88986409639512,23.1992422901795,68.7445497385322
"Mediana",404.541519165039,391.251716699733,0.228138446807861,0.037,0.6402,1.7,29.0299927,18.86,0.22,23.39,71.38
"Min",389.014373779297,382.268113433132,8.58306884765625e-06,0,-0.0156,0.1,1.9500061,1.48,0,5.94,18.19
"Max",420.881072998047,398.871599702663,2.19046592712402,0.1234,0.9554999,6.9000001,52.69,32.41,129.66,35.61,98.5
"Var",28.8173820237368,1.78514507733319,0.0340411159139975,0.000327054963311042,0.0247941991735043,1.94114642826279,25.176310792688,29.9891259491083,36.5343194281701,10.4196154962807,209.057487217916
"DP",5.36818237616204,1.33609321431298,0.184502346635476,0.0180846609951926,0.157461738760577,1.39325031069897,5.01760010290656,5.47623282458921,6.04436261554269,3.22794292023275,14.4588203951054
"Q1.25%",400.433372497558,390.415436304225,0.124540090560913,0.0259,0.513,1.1,26.81,15.31,0,21.27,59.19
"Q3.75%",409.240684509278,392.121190925807,0.358379125595092,0.0499,0.741,2.5,32.2099854000001,22.91,2.87,25.31,80.19
"CV",1.32598059887181,0.341480857062005,70.6425972917412,46.5082870590801,25.4514710408606,67.0655949471628,16.9162578772658,29.0603000338544,209.157331069048,13.9140014999506,21.0326788815973
"EPM",0.014643353727186,0.00364460150172203,0.000732405944112472,0.000119585160247511,0.00141559016395465,0.00898459896709505,0.0117628256976615,0.0122096286414135,0.0134761781639424,0.00719684384656786,0.0322365900390956
"G1",0.104539561073753,-0.0190553941383938,1.35053889078151,0.609964577248705,-0.525359263794852,1.64189821474213,0.299321781779439,-0.213219282114937,3.90387640920674,-0.339663072893429,-0.645729590389721
"G2",-0.993421488992425,0.75626972422145,3.88207161935877,0.413526519358581,-0.207036667750153,2.51413445149496,1.30555580723715,-0.362556030793579,23.9152724046033,0.621073300412503,-0.27123202662829
